Time,AuGDP,quarter,year,t
01jan1960,64683000000,1,1960,1960q1
01apr1960,66473000000,2,1960,1960q2
01jul1960,66623000000.00001,3,1960,1960q3
01oct1960,66489999999.99999,4,1960,1960q4
01jan1961,66690000000,1,1961,1961q1
01apr1961,65958000000,2,1961,1961q2
01jul1961,65486000000.00001,3,1961,1961q3
01oct1961,66232000000,4,1961,1961q4
01jan1962,68090999999.99999,1,1962,1962q1
01apr1962,69395000000,2,1962,1962q2
01jul1962,69957000000,3,1962,1962q3
01oct1962,71213000000,4,1962,1962q4
01jan1963,72857000000,1,1963,1963q1
01apr1963,71908000000,2,1963,1963q2
01jul1963,74859000000,3,1963,1963q3
01oct1963,76463000000,4,1963,1963q4
01jan1964,76341000000,1,1964,1964q1
01apr1964,78225000000,2,1964,1964q2
01jul1964,78710000000,3,1964,1964q3
01oct1964,80948000000,4,1964,1964q4
01jan1965,81627000000,1,1965,1965q1
01apr1965,82907000000,2,1965,1965q2
01jul1965,82665000000,3,1965,1965q3
01oct1965,82865000000,4,1965,1965q4
01jan1966,82626000000,1,1966,1966q1
01apr1966,83758000000,2,1966,1966q2
01jul1966,86126000000,3,1966,1966q3
01oct1966,86690000000,4,1966,1966q4
01jan1967,90073000000,1,1967,1967q1
01apr1967,89946000000,2,1967,1967q2
01jul1967,91637000000,3,1967,1967q3
01oct1967,92432000000,4,1967,1967q4
01jan1968,91609000000,1,1968,1968q1
01apr1968,95136000000,2,1968,1968q2
01jul1968,96393000000,3,1968,1968q3
01oct1968,99987000000,4,1968,1968q4
01jan1969,99294000000,1,1969,1969q1
01apr1969,101262000000,2,1969,1969q2
01jul1969,102937000000,3,1969,1969q3
01oct1969,105309000000,4,1969,1969q4
01jan1970,107497000000,1,1970,1970q1
01apr1970,109660000000,2,1970,1970q2
01jul1970,109432000000,3,1970,1970q3
01oct1970,109955000000,4,1970,1970q4
01jan1971,111284000000,1,1971,1971q1
01apr1971,111765000000,2,1971,1971q2
01jul1971,115277000000,3,1971,1971q3
01oct1971,114905000000,4,1971,1971q4
01jan1972,113511000000,1,1972,1972q1
01apr1972,116053000000,2,1972,1972q2
01jul1972,115464000000,3,1972,1972q3
01oct1972,116681000000,4,1972,1972q4
01jan1973,119694000000,1,1973,1973q1
01apr1973,119924000000,2,1973,1973q2
01jul1973,121129000000,3,1973,1973q3
01oct1973,124150000000,4,1973,1973q4
01jan1974,124174000000,1,1974,1974q1
01apr1974,121669000000,2,1974,1974q2
01jul1974,123130000000,3,1974,1974q3
01oct1974,123246000000,4,1974,1974q4
01jan1975,123734000000,1,1975,1975q1
01apr1975,127641000000,2,1975,1975q2
01jul1975,126243000000,3,1975,1975q3
01oct1975,124330000000,4,1975,1975q4
01jan1976,129829000000,1,1976,1976q1
01apr1976,130229000000,2,1976,1976q2
01jul1976,131285000000,3,1976,1976q3
01oct1976,132430000000,4,1976,1976q4
01jan1977,131709000000,1,1977,1977q1
01apr1977,133577000000,2,1977,1977q2
01jul1977,133007000000,3,1977,1977q3
01oct1977,132591000000,4,1977,1977q4
01jan1978,133526000000,1,1978,1978q1
01apr1978,134621000000,2,1978,1978q2
01jul1978,136663000000,3,1978,1978q3
01oct1978,137797000000,4,1978,1978q4
01jan1979,141568000000,1,1979,1979q1
01apr1979,139300000000,2,1979,1979q2
01jul1979,140594000000,3,1979,1979q3
01oct1979,143307000000,4,1979,1979q4
01jan1980,143951000000,1,1980,1980q1
01apr1980,144324000000,2,1980,1980q2
01jul1980,145084000000,3,1980,1980q3
01oct1980,147584000000,4,1980,1980q4
01jan1981,148154000000,1,1981,1981q1
01apr1981,150452000000,2,1981,1981q2
01jul1981,153476000000,3,1981,1981q3
01oct1981,152862000000,4,1981,1981q4
01jan1982,151623000000,1,1982,1982q1
01apr1982,152995000000,2,1982,1982q2
01jul1982,151973000000,3,1982,1982q3
01oct1982,149567000000,4,1982,1982q4
01jan1983,148065000000,1,1983,1983q1
01apr1983,147784000000,2,1983,1983q2
01jul1983,151907000000,3,1983,1983q3
01oct1983,154436000000,4,1983,1983q4
01jan1984,158313000000,1,1984,1984q1
01apr1984,160100000000,2,1984,1984q2
01jul1984,161455000000,3,1984,1984q3
01oct1984,162573000000,4,1984,1984q4
01jan1985,164941000000,1,1985,1985q1
01apr1985,168583000000,2,1985,1985q2
01jul1985,170873000000,3,1985,1985q3
01oct1985,170427000000,4,1985,1985q4
01jan1986,171551000000,1,1986,1986q1
01apr1986,171249000000,2,1986,1986q2
01jul1986,171728000000,3,1986,1986q3
01oct1986,174577000000,4,1986,1986q4
01jan1987,176249000000,1,1987,1987q1
01apr1987,179012000000,2,1987,1987q2
01jul1987,182267000000,3,1987,1987q3
01oct1987,185943000000,4,1987,1987q4
01jan1988,186749000000,1,1988,1988q1
01apr1988,186882000000,2,1988,1988q2
01jul1988,188425000000,3,1988,1988q3
01oct1988,191349000000,4,1988,1988q4
01jan1989,193317000000,1,1989,1989q1
01apr1989,197420000000,2,1989,1989q2
01jul1989,199021000000,3,1989,1989q3
01oct1989,198488000000,4,1989,1989q4
01jan1990,200122000000,1,1990,1990q1
01apr1990,200391000000,2,1990,1990q2
01jul1990,199208000000,3,1990,1990q3
01oct1990,200362000000,4,1990,1990q4
01jan1991,197773000000,1,1991,1991q1
01apr1991,197511000000,2,1991,1991q2
01jul1991,198330000000,3,1991,1991q3
01oct1991,198467000000,4,1991,1991q4
01jan1992,199951000000,1,1992,1992q1
01apr1992,201384000000,2,1992,1992q2
01jul1992,203423000000,3,1992,1992q3
01oct1992,207604000000,4,1992,1992q4
01jan1993,209044000000,1,1993,1993q1
01apr1993,210221000000,2,1993,1993q2
01jul1993,210444000000,3,1993,1993q3
01oct1993,214339000000,4,1993,1993q4
01jan1994,217928000000,1,1994,1994q1
01apr1994,220649000000,2,1994,1994q2
01jul1994,222332000000,3,1994,1994q3
01oct1994,224485000000,4,1994,1994q4
01jan1995,224421000000,1,1995,1995q1
01apr1995,225242000000,2,1995,1995q2
01jul1995,230359000000,3,1995,1995q3
01oct1995,230511000000,4,1995,1995q4
01jan1996,234369000000,1,1996,1996q1
01apr1996,236012000000,2,1996,1996q2
01jul1996,237901000000,3,1996,1996q3
01oct1996,240055000000,4,1996,1996q4
01jan1997,241547000000,1,1997,1997q1
01apr1997,248685000000,2,1997,1997q2
01jul1997,248995000000,3,1997,1997q3
01oct1997,252526000000,4,1997,1997q4
01jan1998,254242000000,1,1998,1998q1
01apr1998,256736000000,2,1998,1998q2
01jul1998,261685000000,3,1998,1998q3
01oct1998,265727000000,4,1998,1998q4
01jan1999,267784000000,1,1999,1999q1
01apr1999,268673000000,2,1999,1999q2
01jul1999,271809000000,3,1999,1999q3
01oct1999,276422000000,4,1999,1999q4
01jan2000,277467000000,1,2000,2000q1
01apr2000,280015000000,2,2000,2000q2
01jul2000,280554000000,3,2000,2000q3
01oct2000,279485000000,4,2000,2000q4
01jan2001,282341000000,1,2001,2001q1
01apr2001,284683000000,2,2001,2001q2
01jul2001,288107000000,3,2001,2001q3
01oct2001,291578000000,4,2001,2001q4
01jan2002,293777000000,1,2002,2002q1
01apr2002,298699000000,2,2002,2002q2
01jul2002,299741000000,3,2002,2002q3
01oct2002,301922000000,4,2002,2002q4
01jan2003,302237000000,1,2003,2003q1
01apr2003,303260000000,2,2003,2003q2
01jul2003,308311000000,3,2003,2003q3
01oct2003,313573000000,4,2003,2003q4
01jan2004,316068000000,1,2004,2004q1
01apr2004,318164000000,2,2004,2004q2
01jul2004,320598000000,3,2004,2004q3
01oct2004,323081000000,4,2004,2004q4
01jan2005,325612000000,1,2005,2005q1
01apr2005,327074000000,2,2005,2005q2
01jul2005,330563000000,3,2005,2005q3
01oct2005,333359000000,4,2005,2005q4
01jan2006,334052000000,1,2006,2006q1
01apr2006,334618000000,2,2006,2006q2
01jul2006,339615000000,3,2006,2006q3
01oct2006,343962000000,4,2006,2006q4
01jan2007,349093000000,1,2007,2007q1
01apr2007,351152000000,2,2007,2007q2
01jul2007,355047000000,3,2007,2007q3
01oct2007,356830000000,4,2007,2007q4
01jan2008,360878000000,1,2008,2008q1
01apr2008,361686000000,2,2008,2008q2
01jul2008,364490000000,3,2008,2008q3
01oct2008,362726000000,4,2008,2008q4
01jan2009,366480000000,1,2009,2009q1
01apr2009,368529000000,2,2009,2009q2
01jul2009,369658000000,3,2009,2009q3
01oct2009,372366000000,4,2009,2009q4
01jan2010,374249000000,1,2010,2010q1
01apr2010,376184000000,2,2010,2010q2
01jul2010,378803000000,3,2010,2010q3
01oct2010,382661000000,4,2010,2010q4
01jan2011,381637000000,1,2011,2011q1
01apr2011,386110000000,2,2011,2011q2
01jul2011,391324000000,3,2011,2011q3
01oct2011,395795000000,4,2011,2011q4
01jan2012,399502000000,1,2012,2012q1
01apr2012,402509000000,2,2012,2012q2
01jul2012,404849000000,3,2012,2012q3
01oct2012,407094000000,4,2012,2012q4
01jan2013,408208000000,1,2013,2013q1
01apr2013,410055000000,2,2013,2013q2
01jul2013,413326000000,3,2013,2013q3
01oct2013,416705000000,4,2013,2013q4
01jan2014,419596000000,1,2014,2014q1
01apr2014,421874000000,2,2014,2014q2
01jul2014,423893000000,3,2014,2014q3
01oct2014,425490000000,4,2014,2014q4
01jan2015,429099000000,1,2015,2015q1
01apr2015,429669000000,2,2015,2015q2
01jul2015,434299000000,3,2015,2015q3
01oct2015,436797000000,4,2015,2015q4
01jan2016,440632000000,1,2016,2016q1
01apr2016,443751000000,2,2016,2016q2
01jul2016,444402000000,3,2016,2016q3
01oct2016,449007000000,4,2016,2016q4
01jan2017,450351000000,1,2017,2017q1
01apr2017,453282000000,2,2017,2017q2
01jul2017,457697000000,3,2017,2017q3
01oct2017,460097000000,4,2017,2017q4
01jan2018,464215000000,1,2018,2018q1
01apr2018,467870000000,2,2018,2018q2
01jul2018,469354000000,3,2018,2018q3
01oct2018,470140000000,4,2018,2018q4
01jan2019,472267000000,1,2019,2019q1
01apr2019,475156000000,2,2019,2019q2
01jul2019,477791000000,3,2019,2019q3
01oct2019,480280000000,4,2019,2019q4
01jan2020,478811000000,1,2020,2020q1
