month,conf
1978m1,83.7
1978m2,84.3
1978m3,78.8
1978m4,81.59999999999999
1978m5,82.90000000000001
1978m6,80
1978m7,82.40000000000001
1978m8,78.40000000000001
1978m9,80.40000000000001
1978m10,79.3
1978m11,75
1978m12,66.09999999999999
1979m1,72.09999999999999
1979m2,73.90000000000001
1979m3,68.40000000000001
1979m4,66
1979m5,68.09999999999999
1979m6,65.8
1979m7,60.4
1979m8,64.5
1979m9,66.7
1979m10,62.1
1979m11,63.3
1979m12,61
1980m1,67
1980m2,66.90000000000001
1980m3,56.5
1980m4,52.7
1980m5,51.7
1980m6,58.7
1980m7,62.3
1980m8,67.3
1980m9,73.7
1980m10,75
1980m11,76.7
1980m12,64.5
1981m1,71.40000000000001
1981m2,66.90000000000001
1981m3,66.5
1981m4,72.40000000000001
1981m5,76.3
1981m6,73.09999999999999
1981m7,74.09999999999999
1981m8,77.2
1981m9,73.09999999999999
1981m10,70.3
1981m11,62.5
1981m12,64.3
1982m1,71
1982m2,66.5
1982m3,62
1982m4,65.5
1982m5,67.5
1982m6,65.7
1982m7,65.40000000000001
1982m8,65.40000000000001
1982m9,69.3
1982m10,73.40000000000001
1982m11,72.09999999999999
1982m12,71.90000000000001
1983m1,70.40000000000001
1983m2,74.59999999999999
1983m3,80.8
1983m4,89.09999999999999
1983m5,93.3
1983m6,92.2
1983m7,92.8
1983m8,90.90000000000001
1983m9,89.90000000000001
1983m10,89.3
1983m11,91.09999999999999
1983m12,94.2
1984m1,100.1
1984m2,97.40000000000001
1984m3,101
1984m4,96.09999999999999
1984m5,98.09999999999999
1984m6,95.5
1984m7,96.59999999999999
1984m8,99.09999999999999
1984m9,100.9
1984m10,96.3
1984m11,95.7
1984m12,92.90000000000001
1985m1,96
1985m2,93.7
1985m3,93.7
1985m4,94.59999999999999
1985m5,91.8
1985m6,96.5
1985m7,94
1985m8,92.40000000000001
1985m9,92.09999999999999
1985m10,88.40000000000001
1985m11,90.90000000000001
1985m12,93.90000000000001
1986m1,95.59999999999999
1986m2,95.90000000000001
1986m3,95.09999999999999
1986m4,96.2
1986m5,94.8
1986m6,99.3
1986m7,97.7
1986m8,94.90000000000001
1986m9,91.90000000000001
1986m10,95.59999999999999
1986m11,91.40000000000001
1986m12,89.09999999999999
1987m1,90.40000000000001
1987m2,90.2
1987m3,90.8
1987m4,92.8
1987m5,91.09999999999999
1987m6,91.5
1987m7,93.7
1987m8,94.40000000000001
1987m9,93.59999999999999
1987m10,89.3
1987m11,83.09999999999999
1987m12,86.8
1988m1,90.8
1988m2,91.59999999999999
1988m3,94.59999999999999
1988m4,91.2
1988m5,94.8
1988m6,94.7
1988m7,93.40000000000001
1988m8,97.40000000000001
1988m9,97.3
1988m10,94.09999999999999
1988m11,93
1988m12,91.90000000000001
1989m1,97.90000000000001
1989m2,95.40000000000001
1989m3,94.3
1989m4,91.5
1989m5,90.7
1989m6,90.59999999999999
1989m7,92
1989m8,89.59999999999999
1989m9,95.8
1989m10,93.90000000000001
1989m11,90.90000000000001
1989m12,90.5
1990m1,93
1990m2,89.5
1990m3,91.3
1990m4,93.90000000000001
1990m5,90.59999999999999
1990m6,88.3
1990m7,88.2
1990m8,76.40000000000001
1990m9,72.8
1990m10,63.9
1990m11,66
1990m12,65.5
1991m1,66.8
1991m2,70.40000000000001
1991m3,87.7
1991m4,81.8
1991m5,78.3
1991m6,82.09999999999999
1991m7,82.90000000000001
1991m8,82
1991m9,83
1991m10,78.3
1991m11,69.09999999999999
1991m12,68.2
1992m1,67.5
1992m2,68.8
1992m3,76
1992m4,77.2
1992m5,79.2
1992m6,80.40000000000001
1992m7,76.59999999999999
1992m8,76.09999999999999
1992m9,75.59999999999999
1992m10,73.3
1992m11,85.3
1992m12,91
1993m1,89.3
1993m2,86.59999999999999
1993m3,85.90000000000001
1993m4,85.59999999999999
1993m5,80.3
1993m6,81.5
1993m7,77
1993m8,77.3
1993m9,77.90000000000001
1993m10,82.7
1993m11,81.2
1993m12,88.2
1994m1,94.3
1994m2,93.2
1994m3,91.5
1994m4,92.59999999999999
1994m5,92.8
1994m6,91.2
1994m7,89
1994m8,91.7
1994m9,91.5
1994m10,92.7
1994m11,91.59999999999999
1994m12,95.09999999999999
1995m1,97.59999999999999
1995m2,95.09999999999999
1995m3,90.3
1995m4,92.5
1995m5,89.8
1995m6,92.7
1995m7,94.40000000000001
1995m8,96.2
1995m9,88.90000000000001
1995m10,90.2
1995m11,88.2
1995m12,91
1996m1,89.3
1996m2,88.5
1996m3,93.7
1996m4,92.7
1996m5,89.40000000000001
1996m6,92.40000000000001
1996m7,94.7
1996m8,95.3
1996m9,94.7
1996m10,96.5
1996m11,99.2
1996m12,96.90000000000001
1997m1,97.40000000000001
1997m2,99.7
1997m3,100
1997m4,101.4
1997m5,103.2
1997m6,104.5
1997m7,107.1
1997m8,104.4
1997m9,106
1997m10,105.6
1997m11,107.2
1997m12,102.1
1998m1,106.6
1998m2,110.4
1998m3,106.5
1998m4,108.7
1998m5,106.5
1998m6,105.6
1998m7,105.2
1998m8,104.4
