Month,Unemployment rate (percentage; source: ABS)
Jan 1990,6.7
Feb 1990,7.1
Mar 1990,6.5
Apr 1990,6.3
May 1990,6.5
Jun 1990,6.4
Jul 1990,6.7
Aug 1990,7.0
Sep 1990,7.3
Oct 1990,7.1
Nov 1990,7.4
Dec 1990,8.1
Jan 1991,9.1
Feb 1991,9.5
Mar 1991,9.6
Apr 1991,9.9
May 1991,9.5
Jun 1991,9.0
Jul 1991,9.5
Aug 1991,9.5
Sep 1991,10.0
Oct 1991,9.4
Nov 1991,9.6
Dec 1991,10.5
Jan 1992,11.2
Feb 1992,11.5
Mar 1992,10.9
Apr 1992,10.5
May 1992,10.6
Jun 1992,10.5
Jul 1992,10.6
Aug 1992,10.4
Sep 1992,10.6
Oct 1992,10.4
Nov 1992,10.5
Dec 1992,11.2
Jan 1993,11.7
Feb 1993,12.1
Mar 1993,11.3
Apr 1993,10.8
May 1993,10.7
Jun 1993,10.7
Jul 1993,10.4
Aug 1993,10.7
Sep 1993,10.7
Oct 1993,10.3
Nov 1993,10.3
Dec 1993,10.7
Jan 1994,11.4
Feb 1994,11.5
Mar 1994,10.8
Apr 1994,10.1
May 1994,9.7
Jun 1994,9.5
Jul 1994,9.1
Aug 1994,9.2
Sep 1994,9.3
Oct 1994,8.6
Nov 1994,8.6
Dec 1994,8.9
Jan 1995,9.5
Feb 1995,9.8
Mar 1995,9.0
Apr 1995,8.3
May 1995,8.4
Jun 1995,8.1
Jul 1995,7.9
Aug 1995,8.1
Sep 1995,8.4
Oct 1995,8.1
Nov 1995,8.0
Dec 1995,8.1
Jan 1996,9.1
Feb 1996,9.2
Mar 1996,8.8
Apr 1996,8.7
May 1996,8.4
Jun 1996,8.0
Jul 1996,8.0
Aug 1996,8.5
Sep 1996,8.6
Oct 1996,8.3
Nov 1996,8.0
Dec 1996,8.5
Jan 1997,9.2
Feb 1997,9.7
Mar 1997,9.0
Apr 1997,8.6
May 1997,8.5
Jun 1997,8.1
Jul 1997,8.0
Aug 1997,8.3
Sep 1997,8.1
Oct 1997,7.6
Nov 1997,7.5
Dec 1997,7.8
Jan 1998,8.5
Feb 1998,8.6
Mar 1998,8.2
Apr 1998,7.6
May 1998,7.7
Jun 1998,7.6
Jul 1998,7.4
Aug 1998,7.5
Sep 1998,7.6
Oct 1998,6.9
Nov 1998,7.2
Dec 1998,7.0
Jan 1999,7.7
Feb 1999,7.9
Mar 1999,7.3
Apr 1999,7.0
May 1999,7.0
Jun 1999,6.5
Jul 1999,6.2
Aug 1999,6.7
Sep 1999,7.1
Oct 1999,6.4
Nov 1999,6.1
Dec 1999,6.6
Jan 2000,7.3
Feb 2000,7.4
Mar 2000,6.9
Apr 2000,6.4
May 2000,6.4
Jun 2000,5.9
Jul 2000,5.5
Aug 2000,5.9
Sep 2000,6.0
Oct 2000,5.7
Nov 2000,5.9
Dec 2000,6.1
Jan 2001,6.6
Feb 2001,7.3
Mar 2001,6.8
Apr 2001,6.9
May 2001,6.9
Jun 2001,6.7
Jul 2001,6.3
Aug 2001,6.6
Sep 2001,6.9
Oct 2001,6.8
Nov 2001,6.5
Dec 2001,6.7
Jan 2002,7.6
Feb 2002,7.3
Mar 2002,6.7
Apr 2002,6.4
May 2002,6.4
Jun 2002,6.3
Jul 2002,5.7
Aug 2002,6.1
Sep 2002,6.4
Oct 2002,5.8
Nov 2002,5.7
Dec 2002,6.0
Jan 2003,6.7
Feb 2003,6.7
Mar 2003,6.4
Apr 2003,6.1
May 2003,6.1
Jun 2003,5.9
Jul 2003,5.6
Aug 2003,5.6
Sep 2003,5.8
Oct 2003,5.4
Nov 2003,5.3
Dec 2003,5.6
Jan 2004,6.1
Feb 2004,6.4
Mar 2004,5.7
Apr 2004,5.6
May 2004,5.3
Jun 2004,5.3
Jul 2004,5.1
Aug 2004,5.3
Sep 2004,5.4
Oct 2004,4.8
Nov 2004,4.8
Dec 2004,5.0
Jan 2005,5.6
Feb 2005,5.7
Mar 2005,5.4
Apr 2005,5.2
May 2005,5.1
Jun 2005,4.8
Jul 2005,4.6
Aug 2005,4.7
Sep 2005,5.0
Oct 2005,4.7
Nov 2005,4.6
Dec 2005,5.0
Jan 2006,5.7
Feb 2006,5.7
Mar 2006,5.1
Apr 2006,5.0
May 2006,4.8
Jun 2006,4.7
Jul 2006,4.3
Aug 2006,4.5
Sep 2006,4.7
Oct 2006,4.2
Nov 2006,4.2
Dec 2006,4.5
Jan 2007,5.0
Feb 2007,5.2
Mar 2007,4.7
Apr 2007,4.5
May 2007,4.3
Jun 2007,4.2
Jul 2007,3.9
Aug 2007,4.1
Sep 2007,4.2
Oct 2007,4.1
Nov 2007,4.1
Dec 2007,4.2
Jan 2008,4.6
Feb 2008,4.5
Mar 2008,4.3
Apr 2008,4.3
May 2008,4.3
Jun 2008,4.1
Jul 2008,3.9
Aug 2008,3.9
Sep 2008,4.3
Oct 2008,4.1
Nov 2008,4.2
Dec 2008,4.4
Jan 2009,5.3
Feb 2009,6.0
Mar 2009,6.0
Apr 2009,5.6
May 2009,5.8
Jun 2009,5.7
Jul 2009,5.3
Aug 2009,5.5
Sep 2009,5.6
Oct 2009,5.4
Nov 2009,5.2
Dec 2009,5.3
Jan 2010,5.7
Feb 2010,6.0
Mar 2010,5.7
Apr 2010,5.5
May 2010,5.2
Jun 2010,5.0
Jul 2010,4.9
Aug 2010,4.8
Sep 2010,5.0
Oct 2010,5.0
Nov 2010,4.8
Dec 2010,4.7
Jan 2011,5.4
Feb 2011,5.6
Mar 2011,5.2
Apr 2011,5.0
May 2011,5.0
Jun 2011,4.8
Jul 2011,4.8
Aug 2011,5.1
Sep 2011,5.2
Oct 2011,5.0
Nov 2011,4.9
Dec 2011,5.0
Jan 2012,5.4
Feb 2012,5.9
Mar 2012,5.5
Apr 2012,5.0
May 2012,5.2
Jun 2012,5.0
Jul 2012,4.9
Aug 2012,5.0
Sep 2012,5.5
Oct 2012,5.2
Nov 2012,4.9
Dec 2012,5.2
Jan 2013,5.8
Feb 2013,6.1
Mar 2013,6.0
Apr 2013,5.6
May 2013,5.6
Jun 2013,5.5
Jul 2013,5.3
Aug 2013,5.7
Sep 2013,5.7
Oct 2013,5.6
Nov 2013,5.4
Dec 2013,5.7
Jan 2014,6.4
Feb 2014,6.8
Mar 2014,6.2
Apr 2014,5.8
May 2014,5.9
Jun 2014,5.9
Jul 2014,6.0
Aug 2014,6.0
Sep 2014,6.1
Oct 2014,6.1
Nov 2014,5.9
Dec 2014,5.9
Jan 2015,6.8
Feb 2015,6.7
Mar 2015,6.5
Apr 2015,6.1
May 2015,5.8
Jun 2015,5.8
Jul 2015,6.2
Aug 2015,6.1
Sep 2015,6.0
Oct 2015,5.7
Nov 2015,5.5
Dec 2015,5.5
Jan 2016,6.5
Feb 2016,6.2
Mar 2016,6.0
Apr 2016,5.7
May 2016,5.6
Jun 2016,5.5
Jul 2016,5.6
Aug 2016,5.6
Sep 2016,5.5
Oct 2016,5.3
Nov 2016,5.4
Dec 2016,5.6
Jan 2017,6.1
Feb 2017,6.3
Mar 2017,6.2
Apr 2017,5.7
May 2017,5.4
Jun 2017,5.4
Jul 2017,5.5
Aug 2017,5.5
Sep 2017,5.3
Oct 2017,5.1
Nov 2017,5.0
Dec 2017,5.4
Jan 2018,6.0
Feb 2018,6.0
Mar 2018,5.9
Apr 2018,5.6
May 2018,5.3
Jun 2018,5.2
Jul 2018,5.2
Aug 2018,5.3
Sep 2018,4.9
Oct 2018,4.8
Nov 2018,4.7
Dec 2018,4.8
Jan 2019,5.5
Feb 2019,5.4
Mar 2019,5.4
Apr 2019,5.3
May 2019,5.1
Jun 2019,5.1
Jul 2019,5.2
